5,14.4498
0,14.7894
10,16.3044
15,16.2219
25,15.9875
20,16.1141
30,15.8545
35,16.1706
40,15.8655
60,15.8033
75,15.8173
45,15.9817
80,15.8083
65,15.8828
50,15.9488
70,15.8803
55,16.0073
85,15.8897
90,15.8707
95,15.9122
6,16.0044
1,16.4315
11,15.9085
21,16.1446
16,16.6288
26,16.3186
31,16.0671
36,16.2431
66,15.8100
71,15.7884
91,15.7970
81,16.1860
61,16.3086
76,16.3601
41,16.7387
56,16.3561
51,16.4161
46,16.4596
96,16.2490
86,16.4201
7,16.4959
2,16.6832
12,16.5466
27,16.3892
22,16.7678
17,17.0089
32,16.9449
37,16.8644
92,16.4348
72,16.6288
82,16.6514
62,16.6514
67,17.0309
77,16.6889
57,16.6109
97,16.7269
47,16.7939
52,17.0009
87,16.9850
42,17.6866
8,17.1390
3,16.7929
13,17.2858
23,17.2433
28,17.5840
33,17.2513
18,17.3839
93,17.3659
38,17.7896
73,17.6789
68,17.5319
63,17.7754
78,17.6294
83,17.8304
48,17.5169
58,17.8455
98,17.9615
53,17.9912
88,18.3317
43,17.8001
9,18.8755
4,18.8542
14,18.8820
24,18.1711
29,18.4002
34,18.1581
19,18.4307
94,18.2106
74,17.9526
39,18.0894
49,17.6605
69,18.0836
64,17.9026
84,17.8926
59,17.7355
99,17.6709
54,17.5658
79,18.3642
89,17.2339
44,17.2578
